date,AAPL_PRC,AAPL_DIV,CAT_PRC,CAT_DIV,SPY_PRC,SPY_DIV
199912,0.7931,0.0,13.394,0.0,99.4852,0.3476
200001,0.8004,0.0,12.1577,0.325,94.5321,0.0
200002,0.8842,0.0,10.0436,0.0,93.0928,0.0
200003,1.0477,0.0,11.2983,0.0,102.113,0.3708
200004,0.9571,0.0,11.3959,0.325,98.5267,0.0
200005,0.648,0.0,10.9972,0.0,96.9776,0.0
200006,0.8082,0.0,9.7894,0.0,98.8885,0.3484
200007,0.784,0.0,9.93,0.34,97.3357,0.0
200008,0.9403,0.0,10.7201,0.0,103.6957,0.0
200009,0.3973,0.0,9.0379,0.0,98.0125,0.3753
200010,0.3018,0.0,10.3382,0.34,97.554,0.0
200011,0.2546,0.0,11.5913,0.0,90.2712,0.0
200012,0.2296,0.0,13.9503,0.0,89.8061,0.4113
200101,0.3336,0.0,13.1453,0.34,93.7988,0.0
200102,0.2816,0.0,12.3665,0.0,84.8515,0.0
200103,0.3405,0.0,13.1929,0.0,80.1007,0.3155
200104,0.3933,0.0,15.0294,0.34,86.9446,0.0
200105,0.3078,0.0,16.215,0.0,86.4572,0.0
200106,0.3587,0.0,14.9845,0.0,84.3969,0.3464
200107,0.2899,0.0,16.6061,0.35,83.5364,0.0
200108,0.2862,0.0,15.069,0.0,78.58,0.0
200109,0.2393,0.0,13.5018,0.0,72.1684,0.369
200110,0.2709,0.0,13.5794,0.35,73.1082,0.0
200111,0.3286,0.0,14.3993,0.0,78.8089,0.0
200112,0.3379,0.0,15.8659,0.0,79.2516,0.3928
200201,0.3814,0.0,15.3761,0.35,78.475,0.0
200202,0.3348,0.0,16.9755,0.0,77.0675,0.0
200203,0.3652,0.0,17.3853,0.0,79.6294,0.331
200204,0.3745,0.0,16.8098,0.35,74.9985,0.0
200205,0.3595,0.0,16.0865,0.0,74.5535,0.0
200206,0.2734,0.0,15.0648,0.0,69.055,0.3534
200207,0.2354,0.0,13.8696,0.35,63.6121,0.0
200208,0.2276,0.0,13.5407,0.0,64.0447,0.0
200209,0.2237,0.0,11.5487,0.0,57.3294,0.3781
