PERMNO,date,ticker,RET,coname,mkt,rf,ret
26403,2010-01-01,DIS,-0.083721,Walt Disney,-0.0336,0.0,-0.0837
26403,2010-02-01,DIS,0.057191,Walt Disney,0.034,0.0,0.0572
26403,2010-03-01,DIS,0.117478,Walt Disney,0.0631,0.0001,0.1175
26403,2010-04-01,DIS,0.055285,Walt Disney,0.02,0.0001,0.0553
26403,2010-05-01,DIS,-0.092834,Walt Disney,-0.0789,0.0001,-0.0928
26403,2010-06-01,DIS,-0.057451,Walt Disney,-0.0556,0.0001,-0.0575
26403,2010-07-01,DIS,0.069524,Walt Disney,0.0693,0.0001,0.0695
26403,2010-08-01,DIS,-0.034135,Walt Disney,-0.0477,0.0001,-0.0341
26403,2010-09-01,DIS,0.017210,Walt Disney,0.0954,0.0001,0.0172
26403,2010-10-01,DIS,0.091390,Walt Disney,0.0388,0.0001,0.0914
26403,2010-11-01,DIS,0.010657,Walt Disney,0.006,0.0001,0.0107
26403,2010-12-01,DIS,0.038346,Walt Disney,0.0682,0.0001,0.0383
26403,2011-01-01,DIS,0.036257,Walt Disney,0.0199,0.0001,0.0363
26403,2011-02-01,DIS,0.125289,Walt Disney,0.0349,0.0001,0.1253
26403,2011-03-01,DIS,-0.014861,Walt Disney,0.0045,0.0001,-0.0149
26403,2011-04-01,DIS,0.000232,Walt Disney,0.029,0.0,0.0002
26403,2011-05-01,DIS,-0.034107,Walt Disney,-0.0127,0.0,-0.0341
26403,2011-06-01,DIS,-0.062215,Walt Disney,-0.0175,0.0,-0.0622
26403,2011-07-01,DIS,-0.010758,Walt Disney,-0.0236,0.0,-0.0108
26403,2011-08-01,DIS,-0.118073,Walt Disney,-0.0599,0.0001,-0.1181
26403,2011-09-01,DIS,-0.114504,Walt Disney,-0.0759,0.0,-0.1145
26403,2011-10-01,DIS,0.156499,Walt Disney,0.1135,0.0,0.1565
26403,2011-11-01,DIS,0.027810,Walt Disney,-0.0028,0.0,0.0278
26403,2011-12-01,DIS,0.062762,Walt Disney,0.0074,0.0,0.0628
26403,2012-01-01,DIS,0.037333,Walt Disney,0.0505,0.0,0.0373
26403,2012-02-01,DIS,0.079434,Walt Disney,0.0442,0.0,0.0794
26403,2012-03-01,DIS,0.042629,Walt Disney,0.0311,0.0,0.0426
26403,2012-04-01,DIS,-0.015304,Walt Disney,-0.0085,0.0,-0.0153
26403,2012-05-01,DIS,0.060311,Walt Disney,-0.0619,0.0001,0.0603
26403,2012-06-01,DIS,0.061037,Walt Disney,0.0389,0.0,0.061
26403,2012-07-01,DIS,0.013196,Walt Disney,0.0079,0.0,0.0132
26403,2012-08-01,DIS,0.006716,Walt Disney,0.0255,0.0001,0.0067
26403,2012-09-01,DIS,0.056802,Walt Disney,0.0273,0.0001,0.0568
26403,2012-10-01,DIS,-0.060444,Walt Disney,-0.0176,0.0001,-0.0604
26403,2012-11-01,DIS,0.010994,Walt Disney,0.0078,0.0001,0.011
26403,2012-12-01,DIS,0.017721,Walt Disney,0.0118,0.0001,0.0177
26403,2013-01-01,DIS,0.082145,Walt Disney,0.0557,0.0,0.0821
26403,2013-02-01,DIS,0.013177,Walt Disney,0.0129,0.0,0.0132
26403,2013-03-01,DIS,0.040484,Walt Disney,0.0403,0.0,0.0405
26403,2013-04-01,DIS,0.106338,Walt Disney,0.0155,0.0,0.1063
26403,2013-05-01,DIS,0.003819,Walt Disney,0.028,0.0,0.0038
26403,2013-06-01,DIS,0.001110,Walt Disney,-0.012,0.0,0.0011
26403,2013-07-01,DIS,0.023753,Walt Disney,0.0565,0.0,0.0238
26403,2013-08-01,DIS,-0.059087,Walt Disney,-0.0271,0.0,-0.0591
26403,2013-09-01,DIS,0.060168,Walt Disney,0.0377,0.0,0.0602
