PERMNO,date,ticker,RET,coname,mkt,rf,ret
19502,2010-01-01,WBA,-0.018246,Walgreens,-0.0336,0.0,-0.0182
19502,2010-02-01,WBA,-0.018655,Walgreens,0.034,0.0,-0.0187
19502,2010-03-01,WBA,0.052497,Walgreens,0.0631,0.0001,0.0525
19502,2010-04-01,WBA,-0.052305,Walgreens,0.02,0.0001,-0.0523
19502,2010-05-01,WBA,-0.084566,Walgreens,-0.0789,0.0001,-0.0846
19502,2010-06-01,WBA,-0.166667,Walgreens,-0.0556,0.0001,-0.1667
19502,2010-07-01,WBA,0.069288,Walgreens,0.0693,0.0001,0.0693
19502,2010-08-01,WBA,-0.052364,Walgreens,-0.0477,0.0001,-0.0524
19502,2010-09-01,WBA,0.246280,Walgreens,0.0954,0.0001,0.2463
19502,2010-10-01,WBA,0.011343,Walgreens,0.0388,0.0001,0.0113
19502,2010-11-01,WBA,0.033796,Walgreens,0.006,0.0001,0.0338
19502,2010-12-01,WBA,0.117934,Walgreens,0.0682,0.0001,0.1179
19502,2011-01-01,WBA,0.037988,Walgreens,0.0199,0.0001,0.038
19502,2011-02-01,WBA,0.076039,Walgreens,0.0349,0.0001,0.076
19502,2011-03-01,WBA,-0.073835,Walgreens,0.0045,0.0001,-0.0738
19502,2011-04-01,WBA,0.064275,Walgreens,0.029,0.0,0.0643
19502,2011-05-01,WBA,0.025398,Walgreens,-0.0127,0.0,0.0254
19502,2011-06-01,WBA,-0.026816,Walgreens,-0.0175,0.0,-0.0268
19502,2011-07-01,WBA,-0.080546,Walgreens,-0.0236,0.0,-0.0805
19502,2011-08-01,WBA,-0.092341,Walgreens,-0.0599,0.0001,-0.0923
19502,2011-09-01,WBA,-0.065890,Walgreens,-0.0759,0.0,-0.0659
19502,2011-10-01,WBA,0.009425,Walgreens,0.1135,0.0,0.0094
19502,2011-11-01,WBA,0.022440,Walgreens,-0.0028,0.0,0.0224
19502,2011-12-01,WBA,-0.019573,Walgreens,0.0074,0.0,-0.0196
19502,2012-01-01,WBA,0.009074,Walgreens,0.0505,0.0,0.0091
19502,2012-02-01,WBA,0.000749,Walgreens,0.0442,0.0,0.0007
19502,2012-03-01,WBA,0.009952,Walgreens,0.0311,0.0,0.01
19502,2012-04-01,WBA,0.046880,Walgreens,-0.0085,0.0,0.0469
19502,2012-05-01,WBA,-0.123075,Walgreens,-0.0619,0.0001,-0.1231
19502,2012-06-01,WBA,-0.030799,Walgreens,0.0389,0.0,-0.0308
19502,2012-07-01,WBA,0.229209,Walgreens,0.0079,0.0,0.2292
19502,2012-08-01,WBA,-0.008938,Walgreens,0.0255,0.0001,-0.0089
19502,2012-09-01,WBA,0.019016,Walgreens,0.0273,0.0001,0.019
19502,2012-10-01,WBA,-0.033205,Walgreens,-0.0176,0.0001,-0.0332
19502,2012-11-01,WBA,-0.029662,Walgreens,0.0078,0.0001,-0.0297
19502,2012-12-01,WBA,0.091418,Walgreens,0.0118,0.0001,0.0914
19502,2013-01-01,WBA,0.079708,Walgreens,0.0557,0.0,0.0797
19502,2013-02-01,WBA,0.031406,Walgreens,0.0129,0.0,0.0314
19502,2013-03-01,WBA,0.164631,Walgreens,0.0403,0.0,0.1646
19502,2013-04-01,WBA,0.038381,Walgreens,0.0155,0.0,0.0384
19502,2013-05-01,WBA,-0.029792,Walgreens,0.028,0.0,-0.0298
19502,2013-06-01,WBA,-0.074539,Walgreens,-0.012,0.0,-0.0745
19502,2013-07-01,WBA,0.136878,Walgreens,0.0565,0.0,0.1369
19502,2013-08-01,WBA,-0.037114,Walgreens,-0.0271,0.0,-0.0371
19502,2013-09-01,WBA,0.119201,Walgreens,0.0377,0.0,0.1192
19502,2013-10-01,WBA,0.101115,Walgreens,0.0418,0.0,0.1011
19502,2013-11-01,WBA,0.004642,Walgreens,0.0312,0.0,0.0046
19502,2013-12-01,WBA,-0.029730,Walgreens,0.0281,0.0,-0.0297
19502,2014-01-01,WBA,-0.001567,Walgreens,-0.0332,0.0,-0.0016
19502,2014-02-01,WBA,0.190323,Walgreens,0.0465,0.0,0.1903
19502,2014-03-01,WBA,-0.028256,Walgreens,0.0043,0.0,-0.0283
19502,2014-04-01,WBA,0.028321,Walgreens,-0.0019,0.0,0.0283
19502,2014-05-01,WBA,0.063697,Walgreens,0.0206,0.0,0.0637
19502,2014-06-01,WBA,0.030872,Walgreens,0.0261,0.0,0.0309
19502,2014-07-01,WBA,-0.072305,Walgreens,-0.0204,0.0,-0.0723
19502,2014-08-01,WBA,-0.115057,Walgreens,0.0424,0.0,-0.1151
19502,2014-09-01,WBA,-0.020654,Walgreens,-0.0197,0.0,-0.0207
19502,2014-10-01,WBA,0.083516,Walgreens,0.0252,0.0,0.0835
19502,2014-11-01,WBA,0.073614,Walgreens,0.0255,0.0,0.0736
19502,2014-12-01,WBA,0.110625,Walgreens,-0.0006,0.0,0.1106
19502,2015-01-01,WBA,-0.032152,Walgreens,-0.0311,0.0,-0.0322
19502,2015-02-01,WBA,0.131085,Walgreens,0.0613,0.0,0.1311
19502,2015-03-01,WBA,0.019259,Walgreens,-0.0112,0.0,0.0193
19502,2015-04-01,WBA,-0.020666,Walgreens,0.0059,0.0,-0.0207
19502,2015-05-01,WBA,0.039159,Walgreens,0.0136,0.0,0.0392
19502,2015-06-01,WBA,-0.016309,Walgreens,-0.0153,0.0,-0.0163
19502,2015-07-01,WBA,0.144363,Walgreens,0.0154,0.0,0.1444
19502,2015-08-01,WBA,-0.100590,Walgreens,-0.0604,0.0,-0.1006
19502,2015-09-01,WBA,-0.039861,Walgreens,-0.0308,0.0,-0.0399
19502,2015-10-01,WBA,0.019013,Walgreens,0.0775,0.0,0.019
19502,2015-11-01,WBA,-0.003425,Walgreens,0.0056,0.0,-0.0034
19502,2015-12-01,WBA,0.013388,Walgreens,-0.0217,0.0001,0.0134
19502,2016-01-01,WBA,-0.063825,Walgreens,-0.0577,0.0001,-0.0638
19502,2016-02-01,WBA,-0.005268,Walgreens,-0.0007,0.0002,-0.0053
19502,2016-03-01,WBA,0.067140,Walgreens,0.0696,0.0002,0.0671
19502,2016-04-01,WBA,-0.058879,Walgreens,0.0092,0.0001,-0.0589
19502,2016-05-01,WBA,-0.019173,Walgreens,0.0178,0.0001,-0.0192
19502,2016-06-01,WBA,0.075840,Walgreens,-0.0005,0.0002,0.0758
19502,2016-07-01,WBA,-0.048277,Walgreens,0.0395,0.0002,-0.0483
19502,2016-08-01,WBA,0.023155,Walgreens,0.005,0.0002,0.0232
19502,2016-09-01,WBA,-0.001115,Walgreens,0.0025,0.0002,-0.0011
19502,2016-10-01,WBA,0.026172,Walgreens,-0.0202,0.0002,0.0262
19502,2016-11-01,WBA,0.028708,Walgreens,0.0486,0.0001,0.0287
19502,2016-12-01,WBA,-0.023250,Walgreens,0.0182,0.0003,-0.0232
19502,2017-01-01,WBA,-0.009908,Walgreens,0.0194,0.0004,-0.0099
19502,2017-02-01,WBA,0.058762,Walgreens,0.0357,0.0004,0.0588
19502,2017-03-01,WBA,-0.038551,Walgreens,0.0017,0.0003,-0.0386
19502,2017-04-01,WBA,0.042023,Walgreens,0.0109,0.0005,0.042
19502,2017-05-01,WBA,-0.059452,Walgreens,0.0106,0.0006,-0.0595
19502,2017-06-01,WBA,-0.033449,Walgreens,0.0078,0.0006,-0.0334
19502,2017-07-01,WBA,0.030137,Walgreens,0.0187,0.0007,0.0301
19502,2017-08-01,WBA,0.015247,Walgreens,0.0016,0.0009,0.0152
19502,2017-09-01,WBA,-0.052515,Walgreens,0.0251,0.0009,-0.0525
19502,2017-10-01,WBA,-0.141803,Walgreens,0.0225,0.0009,-0.1418
19502,2017-11-01,WBA,0.103969,Walgreens,0.0312,0.0008,0.104
19502,2017-12-01,WBA,-0.001924,Walgreens,0.0106,0.0009,-0.0019
19502,2018-01-01,WBA,0.036354,Walgreens,0.0558,0.0011,0.0364
19502,2018-02-01,WBA,-0.079325,Walgreens,-0.0365,0.0011,-0.0793
19502,2018-03-01,WBA,-0.049644,Walgreens,-0.0235,0.0012,-0.0496
19502,2018-04-01,WBA,0.014969,Walgreens,0.0029,0.0014,0.015
19502,2018-05-01,WBA,-0.055079,Walgreens,0.0265,0.0014,-0.0551
19502,2018-06-01,WBA,-0.038067,Walgreens,0.0048,0.0014,-0.0381
19502,2018-07-01,WBA,0.126718,Walgreens,0.0319,0.0016,0.1267
19502,2018-08-01,WBA,0.020408,Walgreens,0.0344,0.0016,0.0204
19502,2018-09-01,WBA,0.063302,Walgreens,0.0006,0.0015,0.0633
19502,2018-10-01,WBA,0.094239,Walgreens,-0.0768,0.0019,0.0942
19502,2018-11-01,WBA,0.066942,Walgreens,0.0169,0.0018,0.0669
19502,2018-12-01,WBA,-0.192984,Walgreens,-0.0955,0.0019,-0.193
19502,2019-01-01,WBA,0.057515,Walgreens,0.0841,0.0021,0.0575
19502,2019-02-01,WBA,-0.008719,Walgreens,0.034,0.0018,-0.0087
19502,2019-03-01,WBA,-0.111252,Walgreens,0.011,0.0019,-0.1113
19502,2019-04-01,WBA,-0.153311,Walgreens,0.0396,0.0021,-0.1533
19502,2019-05-01,WBA,-0.070749,Walgreens,-0.0694,0.0021,-0.0707
19502,2019-06-01,WBA,0.108026,Walgreens,0.0693,0.0018,0.108
19502,2019-07-01,WBA,-0.003292,Walgreens,0.0119,0.0019,-0.0033
