PERMNO,date,ticker,RET,coname,mkt,rf,ret
55976,2010-01-01,WMT,-0.000374,Walmart,-0.0336,0.0,-0.0004
55976,2010-02-01,WMT,0.011978,Walmart,0.034,0.0,0.012
55976,2010-03-01,WMT,0.033891,Walmart,0.0631,0.0001,0.0339
55976,2010-04-01,WMT,-0.035252,Walmart,0.02,0.0001,-0.0353
55976,2010-05-01,WMT,-0.051780,Walmart,-0.0789,0.0001,-0.0518
55976,2010-06-01,WMT,-0.049248,Walmart,-0.0556,0.0001,-0.0492
55976,2010-07-01,WMT,0.064905,Walmart,0.0693,0.0001,0.0649
55976,2010-08-01,WMT,-0.014602,Walmart,-0.0477,0.0001,-0.0146
55976,2010-09-01,WMT,0.067411,Walmart,0.0954,0.0001,0.0674
55976,2010-10-01,WMT,0.012145,Walmart,0.0388,0.0001,0.0121
55976,2010-11-01,WMT,-0.001477,Walmart,0.006,0.0001,-0.0015
55976,2010-12-01,WMT,0.002635,Walmart,0.0682,0.0001,0.0026
55976,2011-01-01,WMT,0.039681,Walmart,0.0199,0.0001,0.0397
55976,2011-02-01,WMT,-0.072945,Walmart,0.0349,0.0001,-0.0729
55976,2011-03-01,WMT,0.008369,Walmart,0.0045,0.0001,0.0084
55976,2011-04-01,WMT,0.056292,Walmart,0.029,0.0,0.0563
55976,2011-05-01,WMT,0.011004,Walmart,-0.0127,0.0,0.011
55976,2011-06-01,WMT,-0.037668,Walmart,-0.0175,0.0,-0.0377
55976,2011-07-01,WMT,-0.008092,Walmart,-0.0236,0.0,-0.0081
55976,2011-08-01,WMT,0.016031,Walmart,-0.0599,0.0001,0.016
55976,2011-09-01,WMT,-0.024253,Walmart,-0.0759,0.0,-0.0243
55976,2011-10-01,WMT,0.092871,Walmart,0.1135,0.0,0.0929
55976,2011-11-01,WMT,0.038434,Walmart,-0.0028,0.0,0.0384
55976,2011-12-01,WMT,0.020798,Walmart,0.0074,0.0,0.0208
55976,2012-01-01,WMT,0.026774,Walmart,0.0505,0.0,0.0268
55976,2012-02-01,WMT,-0.037158,Walmart,0.0442,0.0,-0.0372
55976,2012-03-01,WMT,0.042612,Walmart,0.0311,0.0,0.0426
