PERMNO,date,ticker,RET,coname,mkt,rf,ret
92655,2010-01-01,UNH,0.082677,UnitedHealth,-0.0336,0.0,0.0827
92655,2010-02-01,UNH,0.026061,UnitedHealth,0.034,0.0,0.0261
92655,2010-03-01,UNH,-0.035145,UnitedHealth,0.0631,0.0001,-0.0351
92655,2010-04-01,UNH,-0.071319,UnitedHealth,0.02,0.0001,-0.0713
92655,2010-05-01,UNH,-0.040911,UnitedHealth,-0.0789,0.0001,-0.0409
92655,2010-06-01,UNH,-0.018748,UnitedHealth,-0.0556,0.0001,-0.0187
92655,2010-07-01,UNH,0.072183,UnitedHealth,0.0693,0.0001,0.0722
92655,2010-08-01,UNH,0.041708,UnitedHealth,-0.0477,0.0001,0.0417
92655,2010-09-01,UNH,0.110813,UnitedHealth,0.0954,0.0001,0.1108
92655,2010-10-01,UNH,0.026773,UnitedHealth,0.0388,0.0001,0.0268
92655,2010-11-01,UNH,0.013037,UnitedHealth,0.006,0.0001,0.013
92655,2010-12-01,UNH,-0.007804,UnitedHealth,0.0682,0.0001,-0.0078
92655,2011-01-01,UNH,0.136804,UnitedHealth,0.0199,0.0001,0.1368
92655,2011-02-01,UNH,0.037272,UnitedHealth,0.0349,0.0001,0.0373
92655,2011-03-01,UNH,0.064467,UnitedHealth,0.0045,0.0001,0.0645
92655,2011-04-01,UNH,0.089159,UnitedHealth,0.029,0.0,0.0892
92655,2011-05-01,UNH,-0.005688,UnitedHealth,-0.0127,0.0,-0.0057
92655,2011-06-01,UNH,0.057048,UnitedHealth,-0.0175,0.0,0.057
92655,2011-07-01,UNH,-0.037805,UnitedHealth,-0.0236,0.0,-0.0378
92655,2011-08-01,UNH,-0.042515,UnitedHealth,-0.0599,0.0001,-0.0425
92655,2011-09-01,UNH,-0.026042,UnitedHealth,-0.0759,0.0,-0.026
92655,2011-10-01,UNH,0.040546,UnitedHealth,0.1135,0.0,0.0405
92655,2011-11-01,UNH,0.016253,UnitedHealth,-0.0028,0.0,0.0163
92655,2011-12-01,UNH,0.042495,UnitedHealth,0.0074,0.0,0.0425
92655,2012-01-01,UNH,0.021902,UnitedHealth,0.0505,0.0,0.0219
92655,2012-02-01,UNH,0.076463,UnitedHealth,0.0442,0.0,0.0765
92655,2012-03-01,UNH,0.060135,UnitedHealth,0.0311,0.0,0.0601
92655,2012-04-01,UNH,-0.047336,UnitedHealth,-0.0085,0.0,-0.0473
92655,2012-05-01,UNH,-0.006768,UnitedHealth,-0.0619,0.0001,-0.0068
92655,2012-06-01,UNH,0.052761,UnitedHealth,0.0389,0.0,0.0528
92655,2012-07-01,UNH,-0.126667,UnitedHealth,0.0079,0.0,-0.1267
92655,2012-08-01,UNH,0.062830,UnitedHealth,0.0255,0.0001,0.0628
92655,2012-09-01,UNH,0.024355,UnitedHealth,0.0273,0.0001,0.0244
92655,2012-10-01,UNH,0.010648,UnitedHealth,-0.0176,0.0001,0.0106
92655,2012-11-01,UNH,-0.028750,UnitedHealth,0.0078,0.0001,-0.0288
92655,2012-12-01,UNH,0.001149,UnitedHealth,0.0118,0.0001,0.0011
92655,2013-01-01,UNH,0.017883,UnitedHealth,0.0557,0.0,0.0179
92655,2013-02-01,UNH,-0.031878,UnitedHealth,0.0129,0.0,-0.0319
92655,2013-03-01,UNH,0.074322,UnitedHealth,0.0403,0.0,0.0743
92655,2013-04-01,UNH,0.047544,UnitedHealth,0.0155,0.0,0.0475
92655,2013-05-01,UNH,0.045053,UnitedHealth,0.028,0.0,0.0451
92655,2013-06-01,UNH,0.049976,UnitedHealth,-0.012,0.0,0.05
92655,2013-07-01,UNH,0.112553,UnitedHealth,0.0565,0.0,0.1126
92655,2013-08-01,UNH,-0.015237,UnitedHealth,-0.0271,0.0,-0.0152
92655,2013-09-01,UNH,0.002091,UnitedHealth,0.0377,0.0,0.0021
92655,2013-10-01,UNH,-0.046781,UnitedHealth,0.0418,0.0,-0.0468
92655,2013-11-01,UNH,0.091122,UnitedHealth,0.0312,0.0,0.0911
