date,ticker,ret
2010-01-01,MSFT,-0.0755
2010-01-01,KO,-0.0482
2010-01-01,XOM,-0.0551
2010-01-01,IBM,-0.065
2010-01-01,CVX,-0.0633
2010-01-01,AAPL,-0.0886
2010-01-01,UTX,-0.0278
2010-01-01,PG,0.0224
2010-01-01,DOW,-0.0195
2010-01-01,CAT,-0.076
2010-01-01,WBA,-0.0182
2010-01-01,BA,0.1195
2010-01-01,PFE,0.0258
2010-01-01,JNJ,-0.0241
2010-01-01,MMM,-0.0264
2010-01-01,MRK,0.0449
2010-01-01,DIS,-0.0837
2010-01-01,MCD,-0.0002
2010-01-01,JPM,-0.0643
2010-01-01,WMT,-0.0004
2010-01-01,NKE,-0.0351
2010-01-01,AXP,-0.0661
2010-01-01,INTC,-0.049
2010-01-01,TRV,0.0162
2010-01-01,VZ,-0.0976
2010-01-01,HD,-0.0318
2010-01-01,CSCO,-0.0614
2010-01-01,GS,-0.1192
2010-01-01,V,-0.0621
2010-01-01,UNH,0.0827
2010-02-01,MSFT,0.022
2010-02-01,KO,-0.0282
2010-02-01,XOM,0.0154
2010-02-01,IBM,0.0435
2010-02-01,CVX,0.0119
2010-02-01,AAPL,0.0654
2010-02-01,UTX,0.0236
2010-02-01,PG,0.0281
2010-02-01,DOW,0.045
2010-02-01,CAT,0.0921
2010-02-01,WBA,-0.0187
2010-02-01,BA,0.0492
2010-02-01,PFE,-0.0498
2010-02-01,JNJ,0.01
2010-02-01,MMM,0.0023
2010-02-01,MRK,-0.034
2010-02-01,DIS,0.0572
2010-02-01,MCD,0.0316
2010-02-01,JPM,0.0778
2010-02-01,WMT,0.012
2010-02-01,NKE,0.0604
2010-02-01,AXP,0.0141
2010-02-01,INTC,0.0664
2010-02-01,TRV,0.0379
2010-02-01,VZ,-0.0167
2010-02-01,HD,0.1139
2010-02-01,CSCO,0.0828
2010-02-01,GS,0.0537
2010-02-01,V,0.0411
2010-02-01,UNH,0.0261
2010-03-01,MSFT,0.0215
2010-03-01,KO,0.0516
2010-03-01,XOM,0.0305
2010-03-01,IBM,0.0086
2010-03-01,CVX,0.0488
2010-03-01,AAPL,0.1485
2010-03-01,UTX,0.0723
2010-03-01,PG,-0.0002
2010-03-01,DOW,0.0498
2010-03-01,CAT,0.1017
2010-03-01,WBA,0.0525
2010-03-01,BA,0.1496
