,date,ticker,ret,mkt,rf
25,2010-01-01,HD,-0.0318,-0.0336,0.0
55,2010-02-01,HD,0.1139,0.034,0.0
85,2010-03-01,HD,0.0444,0.0631,0.0001
115,2010-04-01,HD,0.089,0.02,0.0001
145,2010-05-01,HD,-0.0389,-0.0789,0.0001
175,2010-06-01,HD,-0.164,-0.0556,0.0001
205,2010-07-01,HD,0.0157,0.0693,0.0001
235,2010-08-01,HD,-0.0159,-0.0477,0.0001
265,2010-09-01,HD,0.1387,0.0954,0.0001
295,2010-10-01,HD,-0.0246,0.0388,0.0001
325,2010-11-01,HD,-0.0147,0.006,0.0001
355,2010-12-01,HD,0.1605,0.0682,0.0001
385,2011-01-01,HD,0.0488,0.0199,0.0001
415,2011-02-01,HD,0.019,0.0349,0.0001
445,2011-03-01,HD,-0.0043,0.0045,0.0001
475,2011-04-01,HD,0.0024,0.029,0.0
505,2011-05-01,HD,-0.0234,-0.0127,0.0
535,2011-06-01,HD,0.0052,-0.0175,0.0
565,2011-07-01,HD,-0.0356,-0.0236,0.0
595,2011-08-01,HD,-0.0372,-0.0599,0.0001
625,2011-09-01,HD,-0.0153,-0.0759,0.0
655,2011-10-01,HD,0.0891,0.1135,0.0
685,2011-11-01,HD,0.1036,-0.0028,0.0
715,2011-12-01,HD,0.0719,0.0074,0.0
745,2012-01-01,HD,0.0559,0.0505,0.0
775,2012-02-01,HD,0.0716,0.0442,0.0
805,2012-03-01,HD,0.0637,0.0311,0.0
835,2012-04-01,HD,0.0294,-0.0085,0.0
865,2012-05-01,HD,-0.0417,-0.0619,0.0001
895,2012-06-01,HD,0.074,0.0389,0.0
925,2012-07-01,HD,-0.0153,0.0079,0.0
955,2012-08-01,HD,0.0931,0.0255,0.0001
985,2012-09-01,HD,0.0638,0.0273,0.0001
1015,2012-10-01,HD,0.0167,-0.0176,0.0001
1045,2012-11-01,HD,0.0648,0.0078,0.0001
1075,2012-12-01,HD,-0.0495,0.0118,0.0001
1105,2013-01-01,HD,0.082,0.0557,0.0
1135,2013-02-01,HD,0.0236,0.0129,0.0
1165,2013-03-01,HD,0.0244,0.0403,0.0
1195,2013-04-01,HD,0.0512,0.0155,0.0
1225,2013-05-01,HD,0.0724,0.028,0.0
1255,2013-06-01,HD,-0.0102,-0.012,0.0
1285,2013-07-01,HD,0.0201,0.0565,0.0
1315,2013-08-01,HD,-0.0574,-0.0271,0.0
1345,2013-09-01,HD,0.0235,0.0377,0.0
1375,2013-10-01,HD,0.0269,0.0418,0.0
1405,2013-11-01,HD,0.0357,0.0312,0.0
1435,2013-12-01,HD,0.0255,0.0281,0.0
1465,2014-01-01,HD,-0.0667,-0.0332,0.0
1495,2014-02-01,HD,0.0674,0.0465,0.0
1525,2014-03-01,HD,-0.0296,0.0043,0.0
1555,2014-04-01,HD,0.0048,-0.0019,0.0
1585,2014-05-01,HD,0.0091,0.0206,0.0
1615,2014-06-01,HD,0.015,0.0261,0.0
1645,2014-07-01,HD,-0.0014,-0.0204,0.0
1675,2014-08-01,HD,0.1565,0.0424,0.0
1705,2014-09-01,HD,-0.0138,-0.0197,0.0
1735,2014-10-01,HD,0.063,0.0252,0.0
1765,2014-11-01,HD,0.0193,0.0255,0.0
1795,2014-12-01,HD,0.0608,-0.0006,0.0
1825,2015-01-01,HD,-0.0052,-0.0311,0.0
1855,2015-02-01,HD,0.0989,0.0613,0.0
1885,2015-03-01,HD,-0.0048,-0.0112,0.0
