Date,RiskPremium,RiskFree,Market
192607,2.96,0.22,3.18
192608,2.64,0.25,2.89
192609,0.36,0.23,0.59
192610,-3.24,0.32,-2.92
192611,2.53,0.31,2.84
192612,2.62,0.28,2.9
192701,-0.06,0.25,0.19
192702,4.18,0.26,4.44
192703,0.13,0.3,0.43
192704,0.46,0.25,0.71
192705,5.44,0.3,5.74
192706,-2.34,0.26,-2.08
192707,7.26,0.3,7.56
192708,1.97,0.28,2.25
192709,4.76,0.21,4.97
192710,-4.31,0.25,-4.06
192711,6.58,0.21,6.79
192712,2.09,0.22,2.31
192801,-0.68,0.25,-0.43
192802,-1.7,0.33,-1.37
192803,8.81,0.29,9.1
192804,4.23,0.22,4.45
192805,1.52,0.32,1.84
192806,-4.85,0.31,-4.54
192807,0.62,0.32,0.94
192808,6.68,0.32,7
192809,2.88,0.27,3.15
192810,1.33,0.41,1.74
192811,11.81,0.38,12.19
192812,0.36,0.06,0.42
192901,4.66,0.34,5
192902,-0.34,0.36,0.02
192903,-0.89,0.34,-0.55
192904,1.43,0.36,1.79
192905,-6.39,0.44,-5.95
192906,9.7,0.52,10.22
192907,4.46,0.33,4.79
192908,8.18,0.4,8.58
192909,-5.47,0.35,-5.12
192910,-20.12,0.46,-19.66
192911,-12.74,0.37,-12.37
192912,1.33,0.37,1.7
193001,5.61,0.14,5.75
193002,2.5,0.3,2.8
193003,7.1,0.35,7.45
193004,-2.06,0.21,-1.85
193005,-1.66,0.26,-1.4
193006,-16.27,0.27,-16
193007,4.12,0.2,4.32
193008,0.3,0.09,0.39
193009,-12.75,0.22,-12.53
193010,-8.78,0.09,-8.69
193011,-3.04,0.13,-2.91
193012,-7.83,0.14,-7.69
193101,6.24,0.15,6.39
193102,10.88,0.04,10.92
193103,-6.43,0.13,-6.3
193104,-9.98,0.08,-9.9
193105,-13.24,0.09,-13.15
193106,13.9,0.08,13.98
193107,-6.62,0.06,-6.56
193108,0.41,0.03,0.44
193109,-29.13,0.03,-29.1
193110,8.04,0.1,8.14
193111,-9.08,0.17,-8.91
193112,-13.53,0.12,-13.41
193201,-1.58,0.23,-1.35
193202,5.46,0.23,5.69
193203,-11.21,0.16,-11.05
193204,-17.96,0.11,-17.85
193205,-20.51,0.06,-20.45
193206,-0.7,0.02,-0.68
193207,33.84,0.03,33.87
193208,37.06,0.03,37.09
193209,-2.94,0.03,-2.91
193210,-13.17,0.02,-13.15
193211,-5.88,0.02,-5.86
193212,4.4,0.01,4.41
193301,1.25,0.01,1.26
193302,-15.24,-0.03,-15.27
193303,3.29,0.04,3.33
193304,38.85,0.1,38.95
193305,21.43,0.04,21.47
193306,13.11,0.02,13.13
193307,-9.63,0.02,-9.61
193308,12.05,0.03,12.08
193309,-10.65,0.02,-10.63
193310,-8.36,0.01,-8.35
193311,9.97,0.02,9.99
193312,1.83,0.02,1.85
193401,12.6,0.05,12.65
193402,-2.5,0.02,-2.48
193403,0.09,0.02,0.11
193404,-1.79,0.01,-1.78
193405,-7.25,0.01,-7.24
193406,2.64,0.01,2.65
193407,-10.96,0.01,-10.95
193408,5.58,0.01,5.59
193409,-0.23,0.01,-0.22
193410,-1.66,0.01,-1.65
193411,8.33,0.01,8.34
193412,0.36,0.01,0.37
193501,-3.45,0.01,-3.44
193502,-1.94,0.02,-1.92
193503,-3.68,0.01,-3.67
193504,9.06,0.01,9.07
193505,3.47,0.01,3.48
193506,5.93,0.01,5.94
193507,7.51,0.01,7.52
193508,2.65,0.01,2.66
193509,2.63,0.01,2.64
193510,7.03,0.01,7.04
193511,4.88,0.02,4.9
193512,4.56,0.01,4.57
193601,6.89,0.01,6.9
193602,2.49,0.01,2.5
193603,0.99,0.02,1.01
193604,-8.14,0.02,-8.12
193605,5.19,0.02,5.21
193606,2.4,0.03,2.43
193607,6.67,0.01,6.68
193608,0.99,0.02,1.01
193609,0.98,0.01,0.99
193610,7.12,0.02,7.14
193611,3.27,0.01,3.28
193612,0.21,0,0.21
193701,3.35,0.01,3.36
193702,1.09,0.02,1.11
193703,-0.27,0.01,-0.26
193704,-7.36,0.03,-7.33
193705,-0.83,0.06,-0.77
193706,-4.21,0.03,-4.18
193707,8.91,0.03,8.94
193708,-4.86,0.02,-4.84
193709,-13.61,0.04,-13.57
193710,-9.61,0.02,-9.59
193711,-8.31,0.02,-8.29
193712,-4.24,0,-4.24
193801,0.49,0,0.49
193802,5.84,0,5.84
193803,-23.82,-0.01,-23.83
193804,14.51,0.01,14.52
193805,-3.83,0,-3.83
193806,23.87,0,23.87
193807,7.34,-0.01,7.33
193808,-2.67,0,-2.67
193809,0.81,0.02,0.83
193810,7.8,0.01,7.81
193811,-1.72,-0.06,-1.78
193812,4.19,0,4.19
193901,-5.96,-0.01,-5.97
193902,3.51,0.01,3.52
193903,-11.99,-0.01,-12
193904,-0.18,0,-0.18
193905,6.8,0.01,6.81
193906,-5.31,0.01,-5.3
193907,10.24,0,10.24
193908,-6.68,-0.01,-6.69
193909,16.88,0.01,16.89
193910,-0.53,0,-0.53
193911,-3.62,0,-3.62
193912,3.03,0,3.03
194001,-2.41,0,-2.41
194002,1.44,0,1.44
194003,2.05,0,2.05
194004,0.22,0,0.22
194005,-21.95,-0.02,-21.97
194006,6.67,0,6.67
194007,3.16,0.01,3.17
194008,2.19,-0.01,2.18
194009,2.39,0,2.39
194010,3.02,0,3.02
194011,-1.61,0,-1.61
194012,0.69,0,0.69
194101,-4.17,-0.01,-4.18
194102,-1.43,-0.01,-1.44
194103,0.84,0.01,0.85
194104,-5.46,-0.01,-5.47
194105,1.39,0,1.39
194106,5.83,0,5.83
194107,5.87,0.03,5.9
194108,-0.17,0.01,-0.16
194109,-0.87,0.01,-0.86
194110,-5.25,0,-5.25
194111,-1.92,0,-1.92
194112,-4.87,0.01,-4.86
194201,0.79,0.02,0.81
194202,-2.46,0.01,-2.45
194203,-6.58,0.01,-6.57
194204,-4.37,0.01,-4.36
194205,5.94,0.03,5.97
194206,2.69,0.02,2.71
194207,3.51,0.03,3.54
194208,1.8,0.03,1.83
194209,2.61,0.03,2.64
194210,6.82,0.03,6.85
194211,0.15,0.03,0.18
194212,5.12,0.03,5.15
194301,7.13,0.03,7.16
194302,6.15,0.03,6.18
194303,6.01,0.03,6.04
194304,0.81,0.03,0.84
194305,5.74,0.03,5.77
194306,1.82,0.03,1.85
194307,-4.77,0.03,-4.74
194308,1.3,0.03,1.33
194309,2.4,0.03,2.43
194310,-1.15,0.03,-1.12
194311,-5.91,0.03,-5.88
194312,6.36,0.03,6.39
194401,1.74,0.03,1.77
194402,0.37,0.03,0.4
194403,2.46,0.02,2.48
194404,-1.69,0.03,-1.66
194405,5.07,0.03,5.1
194406,5.49,0.03,5.52
194407,-1.49,0.03,-1.46
194408,1.57,0.03,1.6
194409,0.01,0.02,0.03
194410,0.16,0.03,0.19
194411,1.71,0.03,1.74
194412,4.03,0.02,4.05
194501,2.01,0.03,2.04
194502,6.23,0.02,6.25
194503,-3.89,0.02,-3.87
194504,7.8,0.03,7.83
194505,1.73,0.03,1.76
194506,0.39,0.02,0.41
194507,-2.17,0.03,-2.14
194508,6.2,0.03,6.23
194509,4.77,0.03,4.8
194510,3.89,0.03,3.92
194511,5.39,0.02,5.41
194512,1.2,0.03,1.23
194601,6.24,0.03,6.27
194602,-5.83,0.03,-5.8
194603,5.87,0.03,5.9
194604,4.23,0.03,4.26
194605,3.93,0.03,3.96
194606,-3.89,0.03,-3.86
194607,-2.69,0.03,-2.66
194608,-6.44,0.03,-6.41
194609,-10.17,0.03,-10.14
194610,-1.44,0.03,-1.41
194611,-0.01,0.03,0.02
194612,4.96,0.03,4.99
194701,1.25,0.03,1.28
194702,-1.08,0.03,-1.05
194703,-1.67,0.03,-1.64
194704,-4.8,0.03,-4.77
194705,-0.97,0.03,-0.94
194706,5.29,0.03,5.32
194707,4.14,0.03,4.17
194708,-1.74,0.03,-1.71
194709,-0.54,0.06,-0.48
194710,2.47,0.06,2.53
194711,-1.97,0.06,-1.91
194712,3,0.08,3.08
194801,-3.93,0.07,-3.86
194802,-4.38,0.07,-4.31
194803,8.07,0.09,8.16
194804,3.65,0.08,3.73
194805,7.3,0.08,7.38
194806,-0.1,0.09,-0.01
194807,-5.09,0.08,-5.01
194808,0.25,0.09,0.34
194809,-2.97,0.04,-2.93
194810,5.96,0.04,6
194811,-9.3,0.04,-9.26
194812,3.26,0.04,3.3
194901,0.23,0.1,0.33
194902,-2.93,0.09,-2.84
194903,4.04,0.1,4.14
194904,-1.87,0.09,-1.78
194905,-2.94,0.1,-2.84
194906,0.1,0.1,0.2
194907,5.54,0.09,5.63
194908,2.6,0.09,2.69
194909,3.09,0.09,3.18
194910,3.14,0.09,3.23
194911,1.82,0.08,1.9
194912,5.13,0.09,5.22
195001,1.7,0.09,1.79
195002,1.48,0.09,1.57
195003,1.26,0.1,1.36
195004,3.94,0.09,4.03
195005,4.31,0.1,4.41
195006,-5.94,0.1,-5.84
195007,1.36,0.1,1.46
195008,4.85,0.1,4.95
195009,4.81,0.1,4.91
195010,-0.18,0.12,-0.06
195011,2.76,0.11,2.87
195012,5.54,0.11,5.65
195101,5.7,0.13,5.83
195102,1.41,0.1,1.51
195103,-2.15,0.11,-2.04
195104,4.86,0.13,4.99
195105,-2.34,0.12,-2.22
195106,-2.62,0.12,-2.5
195107,6.94,0.13,7.07
195108,4.27,0.13,4.4
195109,0.7,0.12,0.82
195110,-2.53,0.16,-2.37
195111,0.57,0.11,0.68
195112,3.33,0.12,3.45
195201,1.45,0.15,1.6
195202,-2.62,0.12,-2.5
195203,4.44,0.11,4.55
195204,-4.97,0.12,-4.85
195205,3.2,0.13,3.33
195206,3.83,0.15,3.98
195207,0.91,0.15,1.06
195208,-0.76,0.15,-0.61
195209,-2.03,0.16,-1.87
195210,-0.66,0.14,-0.52
195211,5.94,0.1,6.04
195212,2.93,0.16,3.09
195301,-0.34,0.16,-0.18
195302,-0.27,0.14,-0.13
195303,-1.43,0.18,-1.25
195304,-2.83,0.16,-2.67
195305,0.52,0.17,0.69
195306,-1.89,0.18,-1.71
195307,2.4,0.15,2.55
195308,-4.52,0.17,-4.35
195309,0.2,0.16,0.36
195310,4.6,0.13,4.73
195311,2.83,0.08,2.91
195312,0.03,0.13,0.16
195401,5.13,0.11,5.24
195402,1.67,0.07,1.74
195403,3.65,0.08,3.73
195404,4.27,0.09,4.36
195405,3.09,0.05,3.14
